央视,#genre#
CCTV1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV1,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv1_2/index.m3u8
CCTV1,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv1_2/index.m3u8
CCTV1,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
CCTV1,https://dispatch.ulivetv.net/v/live/c9vu0827ucao.m3u8?stream_id=c9vu0827ucao&timestamp=1684747116&rand=q5QF2n5Y51&uuid=9b647b3816b2a66a&from=web&sign=dfdbf834940b2cfd749f1b3db4db495b
CCTV2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV2,https://dispatch.ulivetv.net/v/live/cgn1jfvngjb4.m3u8?stream_id=cgn1jfvngjb4&timestamp=1684746873&rand=440Cdam79l&uuid=9b647b3816b2a66a&from=web&sign=881de8442d5083265918bd1d53bc1097
CCTV3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV3,https://dispatch.ulivetv.net/v/live/c9vu0ly50rls.m3u8?stream_id=c9vu0ly50rls&timestamp=1684747090&rand=x2JJ9K1L0w&uuid=9b647b3816b2a66a&from=web&sign=e100fad93bd1436582cf2db20247be3e
CCTV4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4,https://dispatch.ulivetv.net/v/live/c9vu1clej000.m3u8?stream_id=c9vu1clej000&timestamp=1684747067&rand=wIVOnUK7q9&uuid=9b647b3816b2a66a&from=web&sign=ebc529521a55e22187e92d3761a56fb6
CCTV5+,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+,http://58.205.220.58:8088/tlivectfree-cdn.ysp.CCTV.cn/ysp/2000204503.m3u8
CCTV5+,https://dispatch.ulivetv.net/v/live/cgn39awxymrk.m3u8?stream_id=cgn39awxymrk&timestamp=1684746454&rand=Ffu9iZHdpk&uuid=9b647b3816b2a66a&from=web&sign=eb53ffd272f35efd1fd28d76574cd2bf
CCTV5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://58.205.220.58/tlivecloud-ipv6.ysp.CCTV.cn/ysp/2000205103.m3u8
CCTV5,http://58.205.220.58:8088/tlivectfree-cdn.ysp.CCTV.cn/ysp/2000205103.m3u8
CCTV5,https://dispatch.ulivetv.net/v/live/c9vu1o0ob5j4.m3u8?stream_id=c9vu1o0ob5j4&timestamp=1684747021&rand=8GvEu7zxBf&uuid=9b647b3816b2a66a&from=web&sign=95a8211d8e3faa6acc7a715c3484ee41
CCTV6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV6,https://dispatch.ulivetv.net/v/live/cgn10iblu2f4.m3u8?stream_id=cgn10iblu2f4&timestamp=1684746974&rand=cmwFF05BRv&uuid=9b647b3816b2a66a&from=web&sign=8ed8fbc7171d55cbddc64f5628a2c61d
CCTV7,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV7,https://dispatch.ulivetv.net/v/live/cgn1c6p2o2io.m3u8?stream_id=cgn1c6p2o2io&timestamp=1684746949&rand=O7wsSTarKx&uuid=9b647b3816b2a66a&from=web&sign=dfaf3a5606a1340e465e055c1ef44d65
CCTV8,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV8,https://dispatch.ulivetv.net/v/live/cgn1g1rn5k8w.m3u8?stream_id=cgn1g1rn5k8w&timestamp=1684746924&rand=X4NEClWiOE&uuid=9b647b3816b2a66a&from=web&sign=936455b8f10b55a1d3d170f36e8b8e09
CCTV9,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV9,https://dispatch.ulivetv.net/v/live/cgn1jfvngjb4.m3u8?stream_id=cgn1jfvngjb4&timestamp=1684746873&rand=440Cdam79l&uuid=9b647b3816b2a66a&from=web&sign=881de8442d5083265918bd1d53bc1097
CCTV10,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV10,https://dispatch.ulivetv.net/v/live/cgn1mnc500qo.m3u8?stream_id=cgn1mnc500qo&timestamp=1684746850&rand=IkkCIigoYQ&uuid=9b647b3816b2a66a&from=web&sign=6d3e63334f212f03f70d7535d4b7ab0c
CCTV11,http://125.210.152.19:9120/live/hzgq-cctv11gq-h264.m3u8
CCTV11,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225776/index.m3u8?
